"key";"tweet_id";"tweet_text";"user_id";"date";"is_rtw";"rtw_user_id";"rtw_tweet_id";"is_reply";"reply_tweet_id";"reply_user_id";"lang";"geolocation";"place";"topic"
"668445";"664467542858182659";"RT @XFactor_Italia: Directioner, perdonate @mikasounds per aver scelto @NaughtyBoyMusic? #XF9";"2669548337";"Wed Nov 11 16:39:42 CET 2015";"1";"135112407";"662368227188699136";"0";"-1";"-1";"en";\N;\N;"xf9"
"668444";"664467506220957696";"RT @Fedez: Stiamo arrivando! #XF9 https://t.co/jgxdeznLj3";"2527658801";"Wed Nov 11 16:39:33 CET 2015";"1";"267138741";"662359296064274433";"0";"-1";"-1";"it";\N;\N;"xf9"
"668443";"664467468258267137";"La thrapie de l'amour ... Amira & Mlachi incarnation physique de l'amour :)  https://t.co/uTfOsBRsLJ";"2414163133";"Wed Nov 11 16:39:24 CET 2015";"0";"0";"0";"0";"-1";"-1";"fr";\N;\N;"xf9"
"668442";"664467443562229760";"RT @XFactor_Italia: Domani guardate #XF9 con la vostra ragazza (o il vostro ragazzo), ma non siate troppo gelosi!  https://t.co/xYUQbLXAdl";"812533962";"Wed Nov 11 16:39:18 CET 2015";"1";"135112407";"664444616658296832";"0";"-1";"-1";"it";\N;\N;"xf9"
"668441";"664467380446302208";"RT @trash_italiano: RT se shippi Fedez e Mika. #XF9 http://t.co/5B2mo2hdT6";"3409013782";"Wed Nov 11 16:39:03 CET 2015";"1";"45174445";"647150947857248258";"0";"-1";"-1";"sq";\N;\N;"xf9"
"668440";"664467318798475265";"RT @XFactor_Italia: #UrbanStrangers: due voci che insieme diventano una magia! #XF9 https://t.co/x56Y7IRqCx";"2919933327";"Wed Nov 11 16:38:48 CET 2015";"1";"135112407";"659857695525081088";"0";"-1";"-1";"it";\N;\N;"xf9"
"668438";"664466990116024320";"RT @XFactor_Italia: Avete fatto una domanda agli Under Uomini con #AskFactor? Vi rispondono qui: https://t.co/8AwuKDRdaR! #XF9";"3566504716";"Wed Nov 11 16:37:30 CET 2015";"1";"135112407";"664464817239912448";"0";"-1";"-1";"it";\N;\N;"xf9"
"668439";"664466990573178880";"RT @XFactor_Italia: Domani guardate #XF9 con la vostra ragazza (o il vostro ragazzo), ma non siate troppo gelosi!  https://t.co/xYUQbLXAdl";"2943900557";"Wed Nov 11 16:37:30 CET 2015";"1";"135112407";"664444616658296832";"0";"-1";"-1";"it";\N;\N;"xf9"
"668437";"664466871895355393";"RT @XFactor_Italia: In attesa del 4 Live di #XF9, ascoltate i brani preferiti di @giorgiomoroder e @5SOS con @DeezerItalia https://t.co/sF";"2919933327";"Wed Nov 11 16:37:02 CET 2015";"1";"135112407";"664417178519605248";"0";"-1";"-1";"it";\N;\N;"xf9"
"668436";"664466806569107456";"RT @Fedez: Ciao sono un ragazzo secs #XF9 http://t.co/MxHFF0xZ5Z";"3086519443";"Wed Nov 11 16:36:46 CET 2015";"1";"267138741";"654750847562153984";"0";"-1";"-1";"it";\N;\N;"xf9"
